,CalYear,HourOfCall,ResourceMobilisationId,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,PumpOrder,DelayCodeId
count,883641,883641,883641,876339,876254,883641,883641,215751
mean,2017.5719143860458,13.483610425500855,5092030.447568639,75.16108948705923,278.2156167047454,351.7864540011158,1.4705779835928845,10.339780580391285
std,1.6854679087679882,6.302839998843284,390714.63838087773,40.63281957565077,148.9242665046739,152.23238576616035,0.7866217938087088,2.2517286936756102
min,2015,0,4436380,0,0,0,1,3
25%,2016,9,4752067,53,180,253,1,9
50%,2018,14,5081349,70,253,327,1,12
75%,2019,19,5433747,90,345,421,2,12
max,2020,23,5769247,1185,1195,1200,11,13
