,CalYear,HourOfCall,UPRN,USRN,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FirstPumpArriving_AttendanceTime,SecondPumpArriving_AttendanceTime,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
count,759359,759359,759359,759359,340528,340528,759359,759359,716374,278388,751226,751226,759359,759359,759359,759338
mean,2021.022287218562,13.387844221244498,19969123060.531246,20406144.679753583,530636.8480183715,180354.95984764837,530634.1666458157,180449.58267433452,313.82586330603846,393.8225929278561,1.397371762958151,1.54992771815672,1.5964556948689619,76.56117198847976,458.7372994854871,1.3152904240272447
std,1.9537485598817772,6.3008831836657695,45239653287.80359,4597704.636685931,10411.318710908308,7487.859680469569,9734.104892807296,7428.518974356028,133.10696229265182,147.5163988103211,0.7709544445156437,0.9068556935503702,1.470431826056624,305.26999942032853,1788.3260163762147,1.520237153510027
min,2018,0,0,4200558,503582,155901,503550,155950,1,1,1,1,1,60,328,1
25%,2019,9,0,20401012,524990.75,175875,525150,176050,230,299,1,1,1,60,339,1
50%,2021,14,0,21201178,530822.5,180974,530950,181050,295,371,1,1,1,60,352,1
75%,2023,19,10012787265.5,22100225,536974,185020,536350,185250,374,460,2,2,2,60,388,1
max,2024,23,200004439603,99990422,561126,200885,611150,302450,1200,1200,14,14,250,72157,407687,175
