,CalYear,HourOfCall,Easting_rounded,Northing_rounded,NumStationsWithPumpsAttending,PumpCount,ResponseTimeSeconds,CalWeekday,CalMonth
count,634025,634025,634025,634025,634025,634025,634025,634025,634025
mean,2020.6368423958045,13.344286108591932,530605.2919837546,180439.86506841212,1.4170829225976893,1.6458814715508063,313.13607507590393,3.021469184969047,6.698505579432988
std,1.7321753741967798,6.314014800568838,9796.575175502243,7477.0204526944035,0.7824116269592997,1.7290930290060524,135.09449942058814,1.9977487240506282,3.390251608128442
min,2018,0,503550,155950,1,1,0,0,1
25%,2019,9,525050,175950,1,1,240,1,4
50%,2021,14,530950,181050,1,1,300,3,7
75%,2022,18,536350,185250,2,2,360,5,10
max,2023,23,561150,200850,14,250,1200,6,12
