,Colonnes,NaNs,Pourcentage
0,IncidentNumber,0,0.00%
1,CalYear,0,0.00%
2,HourOfCall,0,0.00%
3,ResourceMobilisationId,0,0.00%
4,Resource_Code,0,0.00%
5,PerformanceReporting,0,0.00%
6,DateAndTimeMobilised,0,0.00%
7,DateAndTimeMobile,7276,0.82%
8,DateAndTimeArrived,0,0.00%
9,TurnoutTimeSeconds,7302,0.83%
10,TravelTimeSeconds,7387,0.84%
11,AttendanceTimeSeconds,0,0.00%
12,DateAndTimeLeft,1021,0.12%
13,DateAndTimeReturned,787913,89.17%
14,DeployedFromStation_Code,21,0.00%
15,DeployedFromStation_Name,21,0.00%
16,DeployedFromLocation,684,0.08%
17,PumpOrder,0,0.00%
18,PlusCode_Code,0,0.00%
19,PlusCode_Description,0,0.00%
20,DelayCodeId,667890,75.58%
21,DelayCode_Description,667890,75.58%
